CustomerID,churn_probability,churn_prediction,threshold,churn_risk,predicted_revenue,revenue_segment,customer_segment
12346,0.649028,1,0.442809,Medium Risk,218.560000,Low Value,Standard Customer
12347,0.179541,0,0.442809,Low Risk,1287.230000,Medium Value,Standard Customer
12348,0.373580,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12350,0.738456,1,0.442809,High Risk,110.940000,Low Value,At-Risk Customer
12352,0.315202,0,0.442809,Low Risk,482.670000,Low Value,Standard Customer
12353,0.654254,1,0.442809,High Risk,210.470000,Low Value,At-Risk Customer
12354,0.602661,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12355,0.647769,1,0.442809,Medium Risk,78.510000,Low Value,Standard Customer
12356,0.377479,0,0.442809,Medium Risk,572.480000,Medium Value,Standard Customer
12358,0.515352,1,0.442809,Medium Risk,170.590000,Low Value,Standard Customer
12359,0.208392,0,0.442809,Low Risk,2120.130000,High Value,Loyal High-Value Customer
12360,0.290314,0,0.442809,Low Risk,559.070000,Medium Value,Standard Customer
12361,0.714402,1,0.442809,High Risk,176.540000,Low Value,At-Risk Customer
12362,0.157137,0,0.442809,Low Risk,848.880000,Medium Value,Standard Customer
12363,0.367237,0,0.442809,Medium Risk,185.360000,Low Value,Standard Customer
12364,0.379659,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12365,0.640207,1,0.442809,Medium Risk,283.050000,Low Value,Standard Customer
12370,0.327694,0,0.442809,Low Risk,701.480000,Medium Value,Standard Customer
12372,0.434855,0,0.442809,Medium Risk,265.840000,Low Value,Standard Customer
12373,0.740149,1,0.442809,High Risk,115.850000,Low Value,At-Risk Customer
12375,0.435397,0,0.442809,Medium Risk,152.260000,Low Value,Standard Customer
12377,0.582498,1,0.442809,Medium Risk,397.740000,Low Value,Standard Customer
12378,0.297095,0,0.442809,Low Risk,0.000000,Low Value,Standard Customer
12379,0.450611,1,0.442809,Medium Risk,282.930000,Low Value,Standard Customer
12380,0.477976,1,0.442809,Medium Risk,30.070000,Low Value,Standard Customer
12381,0.301380,0,0.442809,Low Risk,433.210000,Low Value,Standard Customer
12383,0.175123,0,0.442809,Low Risk,573.710000,Medium Value,Standard Customer
12384,0.470420,1,0.442809,Medium Risk,176.180000,Low Value,Standard Customer
12386,0.703892,1,0.442809,High Risk,185.980000,Low Value,At-Risk Customer
12388,0.247007,0,0.442809,Low Risk,898.840000,Medium Value,Standard Customer
12393,0.447088,1,0.442809,Medium Risk,549.480000,Medium Value,Standard Customer
12394,0.641909,1,0.442809,Medium Risk,107.600000,Low Value,Standard Customer
12395,0.116551,0,0.442809,Low Risk,584.360000,Medium Value,Standard Customer
12397,0.369174,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12399,0.278763,0,0.442809,Low Risk,155.350000,Low Value,Standard Customer
12401,0.756123,1,0.442809,High Risk,231.320000,Low Value,At-Risk Customer
12402,0.727476,1,0.442809,High Risk,182.090000,Low Value,At-Risk Customer
12405,0.535197,1,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12406,0.305222,0,0.442809,Low Risk,421.210000,Low Value,Standard Customer
12407,0.218745,0,0.442809,Low Risk,350.960000,Low Value,Standard Customer
12408,0.141443,0,0.442809,Low Risk,1181.900000,Medium Value,Standard Customer
12409,0.268130,0,0.442809,Low Risk,1360.380000,Medium Value,Standard Customer
12410,0.633275,1,0.442809,Medium Risk,513.780000,Medium Value,Standard Customer
12412,0.341869,0,0.442809,Low Risk,234.130000,Low Value,Standard Customer
12413,0.529843,1,0.442809,Medium Risk,399.800000,Low Value,Standard Customer
12414,0.507835,1,0.442809,Medium Risk,359.090000,Low Value,Standard Customer
12415,0.084654,0,0.442809,Low Risk,51779.970000,High Value,Loyal High-Value Customer
12417,0.109166,0,0.442809,Low Risk,1640.800000,Medium Value,Standard Customer
12418,0.392200,0,0.442809,Medium Risk,0.000000,Low Value,Standard Customer
12421,0.288240,0,0.442809,Low Risk,336.220000,Low Value,Standard Customer
12422,0.335446,0,0.442809,Low Risk,444.840000,Low Value,Standard Customer
12423,0.130446,0,0.442809,Low Risk,696.310000,Medium Value,Standard Customer
12424,0.424715,0,0.442809,Medium Risk,625.430000,Medium Value,Standard Customer
12426,0.607070,1,0.442809,Medium Risk,59.040000,Low Value,Standard Customer
12427,0.668650,1,0.442809,High Risk,303.100000,Low Value,At-Risk Customer
12428,0.087987,0,0.442809,Low Risk,4496.890000,High Value,Loyal High-Value Customer
