CustomerID,description,preference_score,preference_strength,frequency,monetary,recency_days
12346,MEDIUM CERAMIC TOP STORAGE JAR,0.890000,Strong Preference,1,77183.600000,235
12347,AIRLINE BAG VINTAGE JET SET BROWN,0.890871,Strong Preference,5,85.000000,39
12347,3D DOG PICTURE PLAYING CARDS,0.881921,Strong Preference,4,265.500000,39
12347,ALARM CLOCK BAKELIKE RED ,0.801121,Strong Preference,4,90.000000,39
12347,REGENCY CAKESTAND 3 TIER,0.725211,Moderate Preference,3,114.750000,39
12347,AIRLINE BAG VINTAGE TOKYO 78,0.702871,Moderate Preference,3,85.000000,39
12348,POSTAGE,0.930824,Strong Preference,3,320.000000,158
12348,ICE CREAM PEN LIP GLOSS ,0.546490,Moderate Preference,1,120.000000,158
12348,DOUGHNUT LIP GLOSS ,0.533343,Moderate Preference,1,100.000000,158
12348,ICE CREAM SUNDAE LIP GLOSS,0.525755,Moderate Preference,1,90.000000,158
12348,SET OF 72 SKULL PAPER  DOILIES,0.495622,Weak Preference,1,104.400000,267
12350,POSTAGE,0.890000,Strong Preference,1,40.000000,219
12350,BLUE POLKADOT PASSPORT COVER,0.839353,Strong Preference,1,25.200000,219
12350,CHOCOLATE THIS WAY METAL SIGN,0.839353,Strong Preference,1,25.200000,219
12350,METAL SIGN NEIGHBOURHOOD WITCH ,0.839353,Strong Preference,1,25.200000,219
12350,UNION JACK FLAG PASSPORT COVER ,0.839353,Strong Preference,1,25.200000,219
12352,PINK HEART SHAPE EGG FRYING PAN,0.742733,Moderate Preference,3,59.400000,171
12352,POSTAGE,0.604367,Moderate Preference,2,80.000000,171
12352,Manual,0.582977,Moderate Preference,1,840.300000,193
12352,DELUXE SEWING KIT ,0.569034,Moderate Preference,2,53.550000,193
12352,CERAMIC CAKE DESIGN SPOTTED MUG,0.555099,Moderate Preference,2,35.760000,171
12353,NOVELTY BISCUITS CAKE STAND 3 TIER,0.890000,Strong Preference,1,39.800000,113
12353,CERAMIC CAKE STAND + HANGING CAKES,0.814245,Strong Preference,1,19.900000,113
12353,CERAMIC CAKE BOWL + HANGING CAKES,0.801649,Strong Preference,1,17.700000,113
12353,MINI CAKE STAND WITH HANGING CAKES,0.756936,Moderate Preference,1,11.600000,113
12354,BLUE POLKADOT PLATE ,0.890000,Strong Preference,1,54.080000,142
12354,PINK  POLKADOT PLATE ,0.890000,Strong Preference,1,54.080000,142
12354,RED RETROSPOT PLATE ,0.860492,Strong Preference,1,40.560000,142
12354,RED RETROSPOT BIG BOWL,0.828760,Strong Preference,1,29.700000,142
12354,BLUE POLKADOT CUP,0.819860,Strong Preference,1,27.200000,142
12355,ICE CREAM SUNDAE LIP GLOSS,0.890000,Strong Preference,1,120.000000,124
12355,DOUGHNUT LIP GLOSS ,0.849272,Strong Preference,1,75.000000,124
12355,STRAWBERRY FAIRY CAKE TEAPOT,0.794364,Moderate Preference,1,39.600000,124
12355,GROW A FLYTRAP OR SUNFLOWER IN TIN,0.770738,Moderate Preference,1,30.000000,124
12355,OCEAN SCENT CANDLE IN JEWELLED BOX,0.757002,Moderate Preference,1,25.500000,124
12356,REGENCY CAKESTAND 3 TIER,0.898046,Strong Preference,2,226.200000,155
12356,RED RETROSPOT CAKE STAND,0.829664,Strong Preference,2,87.600000,155
12356,60 TEATIME FAIRY CAKE CASES,0.820224,Strong Preference,2,76.800000,155
12356,SET OF 3 HEART COOKIE CUTTERS,0.806891,Strong Preference,2,63.750000,155
12356,POSTAGE,0.655000,Moderate Preference,1,324.000000,235
12358,POSTAGE,0.890000,Strong Preference,1,80.000000,60
12358,EDWARDIAN PARASOL BLACK,0.879272,Strong Preference,1,71.400000,60
12358,EDWARDIAN PARASOL NATURAL,0.879272,Strong Preference,1,71.400000,60
12358,EDWARDIAN PARASOL PINK,0.879272,Strong Preference,1,71.400000,60
12358,EDWARDIAN PARASOL RED,0.879272,Strong Preference,1,71.400000,60
12359,REGENCY CAKESTAND 3 TIER,0.913153,Strong Preference,2,178.500000,99
12359,VINTAGE BLUE KITCHEN CABINET,0.889841,Strong Preference,2,250.000000,215
12359,VINTAGE RED KITCHEN CABINET,0.889841,Strong Preference,2,250.000000,215
12359,WOOD BLACK BOARD ANT WHITE FINISH,0.880385,Strong Preference,2,114.300000,99
12359,PICNIC BASKET WICKER LARGE,0.832887,Strong Preference,2,59.700000,99
12360,POSTAGE,0.970000,Strong Preference,2,240.000000,22
12360,DOLLY GIRL BABY GIFT SET,0.937912,Strong Preference,2,157.500000,22
12360,CHILDRENS CUTLERY POLKADOT PINK,0.889291,Strong Preference,2,83.000000,22
12360,DINOSAUR LUNCH BOX WITH CUTLERY,0.844663,Strong Preference,2,45.900000,22
12360,ROUND SNACK BOXES SET OF 4 FRUITS ,0.825255,Strong Preference,2,35.400000,22
12361,CIRCUS PARADE LUNCH BOX ,0.890000,Strong Preference,1,23.400000,197
12361,DOLLY GIRL LUNCH BOX,0.890000,Strong Preference,1,23.400000,197
12361,SPACEBOY LUNCH BOX ,0.890000,Strong Preference,1,23.400000,197
12361,PLASTERS IN TIN STRONGMAN,0.869013,Strong Preference,1,19.800000,197
12361,ROUND SNACK BOXES SET OF 4 FRUITS ,0.855020,Strong Preference,1,17.700000,197
12362,POSTAGE,0.975366,Strong Preference,4,165.000000,30
12362,DOLLY GIRL LUNCH BOX,0.788318,Moderate Preference,3,70.200000,30
